Display_Name,Player_Name,Nationality,Auction_Role,Season,Franchise,OVR,Career_OVR,Tier,Auction_Set,Base_Price_Cr,Status,Seasons_Played,Is_Wicketkeeper,Batting_Strike_Rate,Batting_Runs,Bowling_Economy,Bowling_Wickets
Sunil Narine,SP Narine,Overseas,Bowler,2012,KKR,94,98,Marquee,Marquee,2.0,Capped,15,0,128.57,9,5.48,24
Virat Kohli,V Kohli,Indian,Batter,2016,RCB,93,97,Marquee,Marquee,2.0,Capped,19,0,152.03,973,13.0,0
David Warner,DA Warner,Overseas,Batter,2019,SRH,93,96,Marquee,Marquee,2.0,Capped,15,0,143.87,692,0.0,0
Rashid Khan,Rashid Khan,Overseas,Bowler,2020,SRH,92,95,Marquee,Marquee,2.0,Capped,10,0,116.67,35,5.34,20
Suryakumar Yadav,SA Yadav,Indian,Batter,2025,MI,91,95,Marquee,Marquee,2.0,Capped,14,0,167.92,717,0.0,0
Chris Gayle,CH Gayle,Overseas,Batter,2012,RCB,91,94,Marquee,Marquee,2.0,Capped,13,0,160.75,733,14.14,0
Lasith Malinga,SL Malinga,Overseas,Bowler,2011,MI,90,94,Marquee,Marquee,2.0,Capped,9,0,88.89,8,5.95,28
Jos Buttler,JC Buttler,Overseas,Wicketkeeper,2022,RR,90,94,Marquee,Marquee,2.0,Capped,11,1,149.05,863,0.0,0
Dwayne Bravo,DJ Bravo,Overseas,Bowler,2013,CSK,90,94,Marquee,Marquee,2.0,Capped,14,0,114.15,121,7.95,32
Harbhajan Singh,Harbhajan Singh,Indian,Bowler,2013,MI,90,93,Marquee,Marquee,2.0,Capped,13,0,146.84,116,6.51,24
Faf du Plessis,F du Plessis,Overseas,Batter,2023,RCB,90,93,Marquee,Marquee,2.0,Capped,13,0,153.68,730,0.0,0
Andre Russell,AD Russell,Overseas,All-Rounder,2019,KKR,89,93,Marquee,Marquee,2.0,Capped,13,0,203.97,514,9.51,11
Shubman Gill,Shubman Gill,Indian,Batter,2023,GT,89,93,Marquee,Marquee,2.0,Capped,9,0,157.8,890,0.0,0
MS Dhoni,MS Dhoni,Indian,Wicketkeeper,2014,CSK,88,93,A,Wicketkeepers - A,2.0,Capped,18,1,148.4,371,0.0,0
KL Rahul,KL Rahul,Indian,Wicketkeeper,2018,PBKS,88,93,A,Wicketkeepers - A,2.0,Capped,13,1,158.41,659,0.0,0
Ravichandran Ashwin,R Ashwin,Indian,Bowler,2011,CSK,88,93,A,Bowlers - A,2.0,Capped,16,0,33.33,2,6.16,20
Shane Watson,SR Watson,Overseas,All-Rounder,2013,RR,88,93,A,All-Rounders - A,2.0,Capped,12,0,142.89,543,7.15,13
AB de Villiers,AB de Villiers,Overseas,Wicketkeeper,2016,RCB,88,92,A,Wicketkeepers - A,2.0,Capped,14,1,168.8,687,0.0,0
Jasprit Bumrah,JJ Bumrah,Indian,Bowler,2019,MI,88,92,A,Bowlers - A,2.0,Capped,13,0,0.0,0,6.69,20
Ravindra Jadeja,RA Jadeja,Indian,Bowler,2019,CSK,87,92,A,Bowlers - A,1.5,Capped,18,0,120.45,106,6.35,15
Dale Steyn,DW Steyn,Overseas,Bowler,2013,SRH,87,92,A,Bowlers - A,1.5,Capped,11,0,147.22,53,5.8,19
Sai Sudharsan,B Sai Sudharsan,Indian,Batter,2025,GT,87,92,A,Batters - A,1.5,Capped,5,0,156.17,759,0.0,0
Suresh Raina,SK Raina,Indian,All-Rounder,2010,CSK,87,92,A,All-Rounders - A,1.5,Capped,13,0,143.87,528,7.47,6
Yusuf Pathan,YK Pathan,Indian,All-Rounder,2011,KKR,87,92,A,All-Rounders - A,1.5,Capped,12,0,140.8,283,6.1,13
Axar Patel,AR Patel,Indian,Bowler,2014,PBKS,87,92,A,Bowlers - A,1.5,Capped,13,0,103.33,62,6.14,17
Nicholas Pooran,N Pooran,Overseas,Wicketkeeper,2024,LSG,87,91,A,Wicketkeepers - A,1.5,Capped,8,1,178.21,499,0.0,0
Amit Mishra,A Mishra,Indian,Bowler,2010,DC,87,91,A,Bowlers - A,1.5,Capped,16,0,76.47,39,6.85,17
Shakib Al Hasan,Shakib Al Hasan,Overseas,All-Rounder,2014,KKR,87,91,A,All-Rounders - A,1.5,Capped,9,0,148.7,229,6.68,11
Muthiah Muralidaran,M Muralitharan,Overseas,Bowler,2009,CSK,87,91,A,Bowlers - A,1.5,Capped,7,0,100.0,8,5.22,14
Bhuvneshwar Kumar,B Kumar,Indian,Bowler,2017,SRH,86,91,A,Bowlers - A,1.5,Capped,16,0,100.0,4,7.05,26
