Player_ID,Player_Name,Registry_ID,Season,Franchise,Franchise_Full,Nationality,Primary_Role,Batting_Order,Is_Wicketkeeper,Batting_Position_Avg,Age_In_Season,Matches_Played,Fielding_Catches,Run_Outs,Batting_Runs,Batting_Balls_Faced,Batting_Strike_Rate,Batting_Average,Batting_Dismissals,Bowling_Wickets,Bowling_Balls,Bowling_Runs_Conceded,Bowling_Economy,Bowling_Strike_Rate,Bowling_Average,WK_Catches,WK_Stumpings,OVR,Bat_Rat,Bowl_Rat,OVR_Method,FotMob_Rating,FotMob_OVR,FotMob_Bat_Rating,FotMob_Bowl_Rating
a-mukund,A Mukund,6165bca6,2008,CSK,Chennai Super Kings,Indian,Batsman,Middle Order,0,8,28,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,62,56,55,fotmob_hybrid_curve,6.03,62,5.8,
ck-kapugedera,CK Kapugedera,cfad138c,2008,CSK,Chennai Super Kings,Overseas,Batsman,Middle Order,0,5.67,28,5,4,0,16,23,69.57,5.33,3,0,17,49,17.29,0,0,0,0,60,60,58,fotmob_hybrid_curve,5.54,60,5.97,5.25
ja-morkel,JA Morkel,c3d35165,2008,CSK,Chennai Super Kings,Overseas,All-Rounder,Middle Order,0,5.6,28,13,3,0,241,163,147.85,34.43,7,17,288,399,8.31,16.94,23.47,0,0,85,81,81,fotmob_hybrid_curve,8.22,85,7.32,7.23
jdp-oram,JDP Oram,3eac9d95,2008,CSK,Chennai Super Kings,Overseas,Bowler,Lower Order,0,6,28,4,2,1,18,12,150,18,1,3,96,149,9.31,32,49.67,0,0,67,68,67,fotmob_hybrid_curve,6.53,67,6.27,6.02
joginder-sharma,Joginder Sharma,9f961c14,2008,CSK,Chennai Super Kings,Indian,Bowler,Lower Order,0,8,28,8,4,2,16,11,145.45,8,2,8,148,239,9.69,18.5,29.88,0,0,70,61,70,fotmob_hybrid_curve,6.55,70,6.02,6.22
l-balaji,L Balaji,b2b50355,2008,CSK,Chennai Super Kings,Indian,Bowler,Lower Order,0,9,28,9,1,0,0,4,0,0,1,11,198,286,8.67,18,26,0,0,74,56,74,fotmob_hybrid_curve,6.59,74,5.8,6.5
m-muralitharan,M Muralitharan,4ba44e19,2008,CSK,Chennai Super Kings,Overseas,Bowler,Lower Order,0,10,28,15,4,0,0,3,0,0,1,11,348,404,6.97,31.64,36.73,0,0,84,56,84,fotmob_hybrid_curve,7.71,84,5.8,7.63
m-ntini,M Ntini,20a941bb,2008,CSK,Chennai Super Kings,Overseas,Bowler,Lower Order,0,10.5,28,9,1,2,11,18,61.11,11,1,7,210,242,6.91,30,34.57,0,0,81,61,81,fotmob_hybrid_curve,7.28,81,6.03,7.18
mek-hussey,MEK Hussey,48fd7349,2008,CSK,Chennai Super Kings,Overseas,Batsman,Middle Order,0,3,28,4,2,0,168,100,168,84,2,0,0,0,0,0,0,0,0,79,79,55,fotmob_hybrid_curve,7.21,79,7.04,
ml-hayden,ML Hayden,d8699ab7,2008,CSK,Chennai Super Kings,Overseas,Batsman,Opener,0,2,28,4,0,0,189,131,144.27,63,3,0,0,0,0,0,0,0,0,81,81,55,fotmob_hybrid_curve,7.36,81,7.28,
ms-dhoni,MS Dhoni,4a8a2e3b,2008,CSK,Chennai Super Kings,Indian,Wicketkeeper,Middle Order,1,4.57,28,16,6,4,414,310,133.55,41.4,10,0,0,0,0,0,0,0,0,88,88,55,fotmob_hybrid_curve,7.94,85,7.76,
ms-gony,MS Gony,ae78bc32,2008,CSK,Chennai Super Kings,Indian,Bowler,Lower Order,0,8.2,28,16,1,2,35,23,152.17,35,1,17,360,443,7.38,21.18,26.06,0,0,83,77,83,fotmob_hybrid_curve,7.99,83,6.91,7.53
p-amarnath,P Amarnath,6ad3a659,2008,CSK,Chennai Super Kings,Indian,Bowler,Lower Order,0,0,28,6,2,0,0,0,0,0,0,7,132,236,10.73,18.86,33.71,0,0,62,60,62,fotmob_hybrid_curve,5.93,62,,5.69
pa-patel,PA Patel,b5da6c24,2008,CSK,Chennai Super Kings,Indian,Wicketkeeper,Opener,1,1,28,13,6,3,302,297,101.68,27.45,11,0,0,0,0,0,0,0,0,77,77,55,fotmob_hybrid_curve,7.18,77,6.92,
s-anirudha,S Anirudha,95a2ea61,2008,CSK,Chennai Super Kings,Indian,Batsman,Middle Order,0,3,28,1,0,0,1,7,14.29,1,1,0,0,0,0,0,0,0,0,62,61,55,fotmob_hybrid_curve,6.01,62,6.01,
s-badrinath,S Badrinath,3576e47e,2008,CSK,Chennai Super Kings,Indian,Batsman,Finisher,0,5.82,28,16,5,2,192,130,147.69,32,6,0,0,0,0,0,0,0,0,81,81,55,fotmob_hybrid_curve,7.4,81,7.22,
s-vidyut,S Vidyut,756389bd,2008,CSK,Chennai Super Kings,Indian,Batsman,Opener,0,2.5,28,9,1,0,145,109,133.03,18.12,8,1,12,22,11,12,22,0,0,75,75,66,fotmob_hybrid_curve,6.81,75,6.71,6
sk-raina,SK Raina,1dc12ab9,2008,CSK,Chennai Super Kings,Indian,Batsman,Middle Order,0,3.79,28,16,10,2,421,295,142.71,38.27,11,1,20,30,9,20,30,0,0,86,86,68,fotmob_hybrid_curve,8.13,86,7.8,6.09
sp-fleming,SP Fleming,eea6b7f1,2008,CSK,Chennai Super Kings,Overseas,Batsman,Opener,0,2,28,10,2,0,196,165,118.79,21.78,9,0,0,0,0,0,0,0,0,76,76,55,fotmob_hybrid_curve,6.93,76,6.8,
a-mishra,A Mishra,6b19d823,2008,DC,Delhi Daredevils,Indian,Bowler,Lower Order,0,7.33,28,6,0,0,37,42,88.1,12.33,3,11,119,138,6.96,10.82,12.55,0,0,82,66,82,fotmob_hybrid_curve,7.57,82,6.22,7.38
ab-de-villiers,AB de Villiers,c4487b84,2008,DC,Delhi Daredevils,Overseas,Wicketkeeper,Middle Order,1,3.33,28,6,5,2,95,98,96.94,19,5,0,0,0,0,0,0,0,0,70,70,55,fotmob_hybrid_curve,6.65,70,6.35,
b-geeves,B Geeves,50758325,2008,DC,Delhi Daredevils,Overseas,Bowler,Lower Order,0,0,28,2,3,0,0,0,0,0,0,1,48,91,11.38,48,91,0,0,59,60,59,fotmob_hybrid_curve,5.55,59,,5.3
dl-vettori,DL Vettori,d7c6af50,2008,DC,Delhi Daredevils,Overseas,Bowler,Lower Order,0,0,28,2,0,0,0,0,0,0,0,2,48,54,6.75,24,27,0,0,77,60,77,fotmob_hybrid_curve,6.87,77,,6.78
g-gambhir,G Gambhir,bb345e0b,2008,DC,Delhi Daredevils,Indian,Batsman,Opener,0,1,28,14,2,0,534,379,140.9,41.08,13,0,0,0,0,0,0,0,0,87,87,55,fotmob_hybrid_curve,8.08,87,7.88,
gd-mcgrath,GD McGrath,ee7d0c82,2008,DC,Delhi Daredevils,Overseas,Bowler,Lower Order,0,11,28,14,2,0,4,5,80,4,1,12,324,357,6.61,27,29.75,0,0,85,60,85,fotmob_hybrid_curve,7.92,85,5.99,7.81
kd-karthik,KD Karthik,c03f1114,2008,DC,Delhi Daredevils,Indian,Wicketkeeper,Finisher,1,5.75,28,13,0,5,145,107,135.51,24.17,6,0,0,0,0,0,0,6,2,76,76,55,fotmob_hybrid_curve,7.19,76,6.81,
m-manhas,M Manhas,c42aaf71,2008,DC,Delhi Daredevils,Indian,Bowler,Lower Order,0,0,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,60,62,fotmob_hybrid_curve,6.12,85,,
mf-maharoof,MF Maharoof,ab89348d,2008,DC,Delhi Daredevils,Overseas,Bowler,Lower Order,0,6.75,28,10,3,2,125,79,158.23,20.83,6,15,216,249,6.92,14.4,16.6,0,0,86,76,86,fotmob_hybrid_curve,8.28,86,6.81,7.84
mk-tiwary,MK Tiwary,26e5cabf,2008,DC,Delhi Daredevils,Indian,Batsman,Middle Order,0,5.14,28,9,3,1,104,85,122.35,26,4,0,0,0,0,0,0,0,0,73,73,55,fotmob_hybrid_curve,6.78,73,6.56,
mohammad-asif,Mohammad Asif,e03b66ec,2008,DC,Delhi Daredevils,Overseas,Bowler,Lower Order,0,10,28,8,0,0,3,6,50,1.5,2,8,192,296,9.25,24,37,0,0,68,57,68,fotmob_hybrid_curve,6.1,68,5.86,6.1
pj-sangwan,PJ Sangwan,9fc0ef64,2008,DC,Delhi Daredevils,Indian,Bowler,Lower Order,0,9,28,7,1,1,2,5,40,1,2,5,144,215,8.96,28.8,43,0,0,71,57,71,fotmob_hybrid_curve,6.28,71,5.85,6.26
r-bhatia,R Bhatia,33a364a6,2008,DC,Delhi Daredevils,Indian,Bowler,Lower Order,0,7,28,9,1,1,34,28,121.43,17,2,6,132,183,8.32,22,30.5,0,0,73,69,73,fotmob_hybrid_curve,6.79,73,6.33,6.44
s-dhawan,S Dhawan,0a476045,2008,DC,Delhi Daredevils,Indian,Batsman,Middle Order,0,3.43,28,14,8,0,340,295,115.25,37.78,9,0,0,0,0,0,0,0,0,81,81,55,fotmob_hybrid_curve,7.59,81,7.32,
shoaib-malik,Shoaib Malik,64c34cd0,2008,DC,Delhi Daredevils,Overseas,Batsman,Middle Order,0,4.8,28,7,6,1,52,47,110.64,13,4,2,51,85,10,25.5,42.5,0,0,69,69,64,fotmob_hybrid_curve,6.43,69,6.33,5.89
tm-dilshan,TM Dilshan,5bdcdb72,2008,DC,Delhi Daredevils,Overseas,Batsman,Middle Order,0,5,28,7,5,2,104,79,131.65,17.33,6,1,6,3,3,6,3,0,0,76,74,74,fotmob_hybrid_curve,7.24,76,6.63,6.49
v-sehwag,V Sehwag,8ba8195d,2008,DC,Delhi Daredevils,Indian,Batsman,Opener,0,2,28,14,3,5,406,220,184.55,33.83,12,3,66,133,12.09,22,44.33,0,0,85,85,61,fotmob_hybrid_curve,7.58,85,7.74,5.56
vy-mahesh,VY Mahesh,93a17209,2008,DC,Delhi Daredevils,Indian,Bowler,Lower Order,0,9,28,11,5,0,15,27,55.56,7.5,2,16,253,370,8.77,15.81,23.12,0,0,80,67,80,fotmob_hybrid_curve,7.38,80,6.25,7.08
a-symonds,A Symonds,bd77eb62,2008,DCH,Deccan Chargers,Overseas,All-Rounder,Middle Order,0,4,28,4,3,0,161,105,153.33,80.5,2,0,41,101,14.78,0,0,0,0,63,76,53,fotmob_hybrid_curve,6.2,63,6.81,4.68
ac-gilchrist,AC Gilchrist,2b6e6dec,2008,DCH,Deccan Chargers,Overseas,Wicketkeeper,Opener,1,1,28,14,0,1,436,318,137.11,33.54,13,0,0,0,0,0,0,6,1,82,82,55,fotmob_hybrid_curve,7.58,82,7.45,
as-yadav,AS Yadav,b9be6507,2008,DCH,Deccan Chargers,Indian,Batsman,Middle Order,0,7,28,8,1,1,49,39,125.64,9.8,5,0,0,0,0,0,0,0,0,69,69,55,fotmob_hybrid_curve,6.39,69,6.31,
d-kalyankrishna,D Kalyankrishna,94bc776b,2008,DCH,Deccan Chargers,Indian,Bowler,Lower Order,0,9,28,3,1,0,3,8,37.5,3,1,2,48,87,10.88,24,43.5,0,0,62,61,62,fotmob_hybrid_curve,5.79,62,6.03,5.69
db-ravi-teja,DB Ravi Teja,b720a5d6,2008,DCH,Deccan Chargers,Indian,Batsman,Middle Order,0,5.67,28,7,2,0,109,82,132.93,18.17,6,1,12,19,9.5,12,19,0,0,74,74,68,fotmob_hybrid_curve,6.73,74,6.61,6.12
dnt-zoysa,DNT Zoysa,e0351c86,2008,DCH,Deccan Chargers,Overseas,Bowler,Lower Order,0,7.5,28,3,0,0,11,9,122.22,11,1,2,66,99,9,33,49.5,0,0,67,66,67,fotmob_hybrid_curve,6.26,67,6.22,6.03
dp-vijaykumar,DP Vijaykumar,acd4f5dc,2008,DCH,Deccan Chargers,Indian,Bowler,Lower Order,0,10.5,28,9,0,0,1,1,100,0,0,4,152,199,7.86,38,49.75,0,0,74,64,74,fotmob_hybrid_curve,6.61,74,6.16,6.53
h-das,H Das,0ed0cdbf,2008,DCH,Deccan Chargers,Indian,Batsman,Middle Order,0,8,28,1,0,0,2,5,40,2,1,0,0,0,0,0,0,0,0,62,61,55,fotmob_hybrid_curve,6.02,62,6.02,
hh-gibbs,HH Gibbs,e1d1b294,2008,DCH,Deccan Chargers,Overseas,Batsman,Opener,0,2.33,28,9,5,1,167,153,109.15,18.56,9,0,0,0,0,0,0,0,0,75,75,55,fotmob_hybrid_curve,6.88,75,6.7,
lpc-silva,LPC Silva,1be70c88,2008,DCH,Deccan Chargers,Overseas,Batsman,Middle Order,0,4.33,28,3,3,1,40,26,153.85,20,2,0,6,21,21,0,0,0,0,72,72,60,fotmob_hybrid_curve,6.26,72,6.43,5.48
pm-sarvesh-kumar,PM Sarvesh Kumar,4b4d1957,2008,DCH,Deccan Chargers,Indian,Bowler,Lower Order,0,11,28,2,0,0,1,2,50,0,0,1,30,42,8.4,30,42,0,0,69,64,69,fotmob_hybrid_curve,6.27,69,6.16,6.13
pp-ojha,PP Ojha,6c6591ab,2008,DCH,Deccan Chargers,Indian,Bowler,Lower Order,0,9.75,28,13,3,0,2,4,50,1,2,11,222,289,7.81,20.18,26.27,0,0,81,59,81,fotmob_hybrid_curve,7.28,81,5.95,7.15
rg-sharma,RG Sharma,740742ef,2008,DCH,Deccan Chargers,Indian,Batsman,Middle Order,0,4,28,13,8,0,404,273,147.99,36.73,11,1,24,25,6.25,24,25,0,0,84,84,75,fotmob_hybrid_curve,7.77,84,7.63,6.57
rp-singh,RP Singh,c3d1402f,2008,DCH,Deccan Chargers,Indian,Bowler,Lower Order,0,9.22,28,14,5,1,27,24,112.5,6.75,4,15,308,442,8.61,20.53,29.47,0,0,78,71,78,fotmob_hybrid_curve,7.2,78,6.39,6.86
sb-bangar,SB Bangar,0604ef16,2008,DCH,Deccan Chargers,Indian,Bowler,Lower Order,0,7.29,28,11,2,2,47,49,95.92,7.83,6,4,150,219,8.76,37.5,54.75,0,0,68,70,68,fotmob_hybrid_curve,6.57,68,6.35,6.13
sb-styris,SB Styris,57efa3be,2008,DCH,Deccan Chargers,Overseas,All-Rounder,Middle Order,0,4.62,28,8,1,1,112,123,91.06,18.67,6,3,162,199,7.37,54,66.33,0,0,77,73,75,fotmob_hybrid_curve,7.37,77,6.55,6.63
shahid-afridi,Shahid Afridi,0dc00542,2008,DCH,Deccan Chargers,Overseas,Bowler,Lower Order,0,4.33,28,10,4,0,81,46,176.09,10.12,8,9,180,225,7.5,20,25,0,0,81,75,81,fotmob_hybrid_curve,7.74,81,6.67,7.14
vvs-laxman,VVS Laxman,de8cce37,2008,DCH,Deccan Chargers,Indian,Batsman,Opener,0,2.33,28,6,1,1,155,132,117.42,31,5,0,0,0,0,0,0,0,0,78,78,55,fotmob_hybrid_curve,7.04,78,6.93,
wpujc-vaas,WPUJC Vaas,bcce309e,2008,DCH,Deccan Chargers,Overseas,Bowler,Lower Order,0,8.75,28,5,0,0,21,18,116.67,7,3,5,102,145,8.53,20.4,29,0,0,72,63,72,fotmob_hybrid_curve,6.58,72,6.11,6.36
y-venugopal-rao,Y Venugopal Rao,fe763256,2008,DCH,Deccan Chargers,Indian,All-Rounder,Middle Order,0,4.8,28,11,0,0,288,210,137.14,36,8,2,84,137,9.79,42,68.5,0,0,73,83,63,fotmob_hybrid_curve,6.96,73,7.53,5.81
a-chopra,A Chopra,e249fdaa,2008,KKR,Kolkata Knight Riders,Indian,Batsman,Opener,0,2.8,28,5,2,0,42,52,80.77,8.4,5,0,0,0,0,0,0,0,0,65,64,55,fotmob_hybrid_curve,6.35,65,6.15,
ab-agarkar,AB Agarkar,fa463154,2008,KKR,Kolkata Knight Riders,Indian,Bowler,Lower Order,0,7.17,28,9,0,1,54,46,117.39,10.8,5,8,156,207,7.96,19.5,25.88,0,0,77,70,77,fotmob_hybrid_curve,7.16,77,6.34,6.83
ab-dinda,AB Dinda,66b30f71,2008,KKR,Kolkata Knight Riders,Indian,Bowler,Lower Order,0,11,28,13,1,1,2,4,50,2,1,9,234,260,6.67,26,28.89,0,0,82,64,82,fotmob_hybrid_curve,7.55,82,6.14,7.39
baw-mendis,BAW Mendis,ea0cdc12,2008,KKR,Kolkata Knight Riders,Overseas,Bowler,Lower Order,0,0,28,1,0,0,0,0,0,0,0,1,24,24,6,24,24,0,0,75,60,75,fotmob_hybrid_curve,6.67,75,,6.61
bb-mccullum,BB McCullum,b8a55852,2008,KKR,Kolkata Knight Riders,Overseas,Wicketkeeper,Opener,1,1.75,28,4,1,0,188,92,204.35,62.67,3,0,0,0,0,0,0,0,0,76,76,55,fotmob_hybrid_curve,6.86,76,6.83,
