Master_DB_Name,Impact_CSV_Name
AD Russell,Andre Russell
S Gopal,Shreyas Gopal
DA Warner,David Warner
JJ Bumrah,Jasprit Bumrah
DL Chahar,Deepak Chahar
Rashid Khan,Rashid Khan
Imran Tahir,Imran Tahir
RR Pant,Rishabh Pant
CH Gayle,Chris Gayle
YS Chahal,Yuzvendra Chahal
S Dhawan,Shikhar Dhawan
JC Archer,Jofra Archer
SP Narine,Sunil Narine
RD Chahar,Rahul Chahar
MM Ali,Moeen Ali
Mohammed Shami,Mohammed Shami
Q de Kock,Quinton de Kock
K Rabada,Kagiso Rabada
KL Rahul,KL Rahul
AB de Villiers,AB de Villiers
JM Bairstow,Jonny Bairstow
MS Dhoni,MS Dhoni
Harbhajan Singh,Harbhajan Singh
SR Watson,Shane Watson
KK Ahmed,Khaleel Ahmed
RA Jadeja,Ravindra Jadeja
B Kumar,Bhuvneshwar Kumar
V Kohli,Virat Kohli
F du Plessis,Faf du Plessis
I Sharma,Ishant Sharma
SK Raina,Suresh Raina
PA Patel,Parthiv Patel
SS Iyer,Shreyas Iyer
KA Pollard,Kieron Pollard
RG Sharma,Rohit Sharma
JC Buttler,Jos Buttler
CA Lynn,Chris Lynn
N Rana,Nitish Rana
Navdeep Saini,Navdeep Saini
PP Shaw,Prithvi Shaw
AM Rahane,Ajinkya Rahane
SM Curran,Sam Curran
DJ Bravo,Dwayne Bravo
Mohammad Nabi,Mohammad Nabi
SV Samson,Sanju Samson
MA Agarwal,Mayank Agarwal
A Mishra,Amit Mishra
PP Chawla,Piyush Chawla
MK Pandey,Manish Pandey
KD Karthik,Dinesh Karthik
CH Morris,Chris Morris
R Parag,Riyan Parag
V Shankar,Vijay Shankar
SL Malinga,Lasith Malinga
SPD Smith,Steven Smith
JD Unadkat,Jaydev Unadkat
MP Stoinis,Marcus Stoinis
UT Yadav,Umesh Yadav
SN Thakur,Shardul Thakur
BA Stokes,Ben Stokes
GC Viljoen,Hardus Viljoen
Shubman Gill,Shubman Gill
DS Kulkarni,Dhawal Kulkarni
AT Rayudu,Ambati Rayudu
KMA Paul,Keemo Paul
Kuldeep Yadav,Kuldeep Yadav
RV Uthappa,Robin Uthappa
N Pooran,Nicholas Pooran
MJ Santner,Mitchell Santner
M Prasidh Krishna,Prasidh Krishna
HF Gurney,Harry Gurney
SN Khan,Sarfaraz Khan
JP Behrendorff,Jason Behrendorff
CA Ingram,Colin Ingram
S Lamichhane,Sandeep Lamichhane
KM Jadhav,Kedar Jadhav
DA Miller,David Miller
S Kaul,Siddarth Kaul
O Thomas,Oshane Thomas
Mohammed Siraj,Mohammed Siraj
RA Tripathi,Rahul Tripathi
DW Steyn,Dale Steyn
Washington Sundar,Washington Sundar
STR Binny,Stuart Binny
SE Rutherford,Sherfane Rutherford
KS Williamson,Kane Williamson
MJ Guptill,Martin Guptill
S Sandeep Warrier,Sandeep Warrier
C Munro,Colin Munro
MJ McClenaghan,Mitchell McClenaghan
Gurkeerat Singh,Gurkeerat Singh Mann
WP Saha,Wriddhiman Saha
AS Joseph,Alzarri Joseph
P Negi,Pawan Negi
Mujeeb Ur Rahman,Mujeeb Ur Rahman
SO Hetmyer,Shimron Hetmyer
LS Livingstone,Liam Livingstone
VR Aaron,Varun Aaron
TA Boult,Trent Boult
IS Sodhi,Ish Sodhi
DJ Hooda,Deepak Hooda
Ishan Kishan,Ishan Kishan
Shakib Al Hasan,Shakib Al Hasan
LH Ferguson,Lockie Ferguson
AS Rajpoot,Ankit Rajpoot
M Vijay,Murali Vijay
AJ Tye,Andrew Tye
Yuvraj Singh,Yuvraj Singh
J Suchith,Jagadeesha Suchith
R Tewatia,Rahul Tewatia
S Dube,Shivam Dube
K Gowtham,Krishnappa Gowtham
K Khejroliya,Kulwant Khejroliya
S Nadeem,Shahbaz Nadeem
M Markande,Mayank Markande
BCJ Cutting,Ben Cutting
Harpreet Brar,Harpreet Brar
AD Nath,Akshdeep Nath
E Lewis,Evin Lewis
MK Lomror,Mahipal Lomror
AS Roy,Anukul Roy
CV Varun,Varun Chakravarthy
SC Kuggeleijn,Scott Kuggeleijn
TG Southee,Tim Southee
Rasikh Salam,Rasikh Salam
RK Singh,Rinku Singh
Basil Thampi,Basil Thampi
SD Lad,Siddhesh Lad
C de Grandhomme,Colin de Grandhomme
CR Brathwaite,Carlos Brathwaite
YK Pathan,Yusuf Pathan
Avesh Khan,Avesh Khan
P Chopra,Prashant Chopra
